Candidate_ID,Latitude,Longitude,Setup_Cost,Solar_Max_kW,Wind_Max_kW,Grid_Max_kW
0,43.06601587158441,-79.12384160721369,49914,85,27,165
1,43.09370478336936,-79.10634930513298,42693,27,27,207
2,43.06305990412202,-79.0585952801208,61834,127,91,289
3,43.05770363471694,-79.11176518699664,46776,115,76,102
4,43.05048664913718,-79.08914021579379,69320,61,36,150
5,43.0688588633659,-79.11046995822018,47994,117,31,195
6,43.08906714014121,-79.09769310631535,79353,51,11,138
7,43.08480739541246,-79.10592973521466,60080,80,58,212
8,43.118363046908286,-79.09711703893454,40854,128,18,225
9,43.06014264104638,-79.09084377917779,78559,67,54,283
10,43.06663462807946,-79.07174269211104,42327,68,97,297
11,43.077917710971114,-79.06468545014245,62671,96,72,223
