Node_ID,Candidate_ID,Distance_km,r_ij_Covered
0,0,5.79,0
0,1,4.68,0
0,2,1.51,1
0,3,5.13,0
0,4,4.05,0
0,5,4.66,0
0,6,3.83,0
0,7,4.33,0
0,8,5.85,0
0,9,3.49,1
0,10,1.8,1
0,11,0.89,1
1,0,0.76,1
1,1,3.76,0
1,2,4.79,0
1,3,0.59,1
1,4,2.58,1
1,5,1.05,1
1,6,3.52,0
1,7,2.82,1
1,8,6.6,0
1,9,2.17,1
1,10,3.77,0
1,11,4.69,0
2,0,0.92,1
2,1,2.47,1
2,2,5.0,0
2,3,1.83,1
2,4,3.49,1
2,5,0.83,1
2,6,2.43,1
2,7,1.64,1
2,8,5.3,0
2,9,2.69,1
2,10,3.88,0
2,11,4.41,0
3,0,7.57,0
3,1,4.4,0
3,2,6.11,0
3,3,7.76,0
3,4,7.78,0
3,5,6.66,0
3,6,4.25,0
3,7,5.05,0
3,8,2.74,1
3,9,6.8,0
3,10,5.74,0
3,11,4.45,0
4,0,6.9,0
4,1,3.55,0
4,2,6.52,0
4,3,7.32,0
4,4,7.7,0
4,5,6.13,0
4,6,3.65,0
4,7,4.37,0
4,8,1.35,1
4,9,6.65,0
4,10,5.92,0
4,11,4.8,0
5,0,3.32,1
5,1,4.91,0
5,2,2.71,1
5,3,2.04,1
5,4,0.16,1
5,5,2.65,1
5,6,4.24,0
5,7,3.97,0
5,8,7.46,0
5,9,0.98,1
5,10,2.13,1
5,11,3.49,1
6,0,0.09,1
6,1,3.33,1
6,2,5.22,0
6,3,1.31,1
6,4,3.25,1
6,5,1.04,1
6,6,3.25,1
6,7,2.47,1
6,8,6.15,0
6,9,2.68,1
6,10,4.14,0
6,11,4.89,0
7,0,4.27,0
7,1,1.1,1
7,2,4.8,0
7,3,4.67,0
7,4,5.26,0
7,5,3.47,1
7,6,1.0,1
7,7,1.72,1
7,8,2.32,1
7,9,4.18,0
7,10,3.89,0
7,11,3.23,1
8,0,7.45,0
8,1,4.26,0
8,2,6.09,0
8,3,7.65,0
8,4,7.71,0
8,5,6.54,0
8,6,4.12,0
8,7,4.92,0
8,8,2.58,1
8,9,6.72,0
8,10,5.69,0
8,11,4.41,0
9,0,1.07,1
9,1,3.08,1
9,2,4.25,0
9,3,0.94,1
9,4,2.47,1
9,5,0.3,1
9,6,2.76,1
9,7,2.11,1
9,8,5.91,0
9,9,1.75,1
9,10,3.17,1
9,11,3.96,0
10,0,4.75,0
10,1,1.81,1
10,2,6.87,0
10,3,5.64,0
10,4,6.79,0
10,5,4.41,0
10,6,2.61,1
10,7,2.74,1
10,8,1.9,1
10,9,5.74,0
10,10,5.87,0
10,11,5.37,0
11,0,3.7,0
11,1,0.31,1
11,2,5.29,0
11,3,4.33,0
11,4,5.26,0
11,5,3.09,1
11,6,1.01,1
11,7,1.29,1
11,8,2.53,1
11,9,4.19,0
11,10,4.27,0
11,11,3.87,0
12,0,2.65,1
12,1,1.77,1
12,2,6.33,0
12,3,3.78,0
12,4,5.36,0
12,5,2.7,1
12,6,2.42,1
12,7,1.84,1
12,8,4.03,0
12,9,4.44,0
12,10,5.21,0
12,11,5.27,0
13,0,7.67,0
13,1,4.6,0
13,2,5.86,0
13,3,7.78,0
13,4,7.68,0
13,5,6.71,0
13,6,4.36,0
13,7,5.17,0
13,8,3.15,1
13,9,6.72,0
13,10,5.57,0
13,11,4.24,0
14,0,3.3,1
14,1,2.93,1
14,2,2.36,1
14,3,2.79,1
14,4,2.52,1
14,5,2.17,1
14,6,2.1,1
14,7,2.2,1
14,8,5.16,0
14,9,1.51,1
14,10,1.24,1
14,11,1.69,1
15,0,5.03,0
15,1,1.85,1
15,2,4.93,0
15,3,5.36,0
15,4,5.77,0
15,5,4.19,0
15,6,1.72,1
15,7,2.49,1
15,8,1.97,1
15,9,4.7,0
15,10,4.15,0
15,11,3.25,1
16,0,3.05,1
16,1,3.12,1
16,2,2.39,1
16,3,2.44,1
16,4,2.14,1
16,5,1.94,1
16,6,2.34,1
16,7,2.3,1
16,8,5.48,0
16,9,1.11,1
16,10,1.25,1
16,11,2.0,1
17,0,6.03,0
17,1,6.2,0
17,2,1.07,1
17,3,4.94,0
