Node_ID,Latitude,Longitude,Demand_Peak,Demand_OffPeak,Priority_Weight_wi
0,43.07621780831931,-79.05394285548721,11.9,5.1,1.0
1,43.06092130483097,-79.1175204383731,14.0,6.0,1.0
2,43.07335960277973,-79.11857065456624,8.4,3.6,1.0
3,43.11789368965134,-79.06340458873596,32.9,14.1,1.0
4,43.11945480915038,-79.08060147922978,21.7,9.3,1.0
5,43.0516143697529,-79.08801802717933,25.9,11.1,3.0
6,43.066293993830115,-79.12275148523737,8.4,3.6,3.0
7,43.09762152770114,-79.09396005984243,18.9,8.1,3.0
8,43.117594242315214,-79.06532821215067,12.6,5.4,1.0
9,43.06616256779355,-79.11071796271791,11.2,4.8,1.0
10,43.10832364382153,-79.11613082771937,18.2,7.8,1.0
11,43.096376559904776,-79.10506311391285,10.5,4.5,1.0
12,43.0897390229474,-79.12749493660355,18.9,8.1,1.0
13,43.11576492590949,-79.05841381196578,16.1,6.9,1.0
14,43.07285785381641,-79.08436448204756,34.3,14.7,3.0
15,43.10231240770961,-79.08682462940887,23.1,9.9,1.0
16,43.06966541567812,-79.08658431334733,26.6,11.4,3.0
17,43.05521854505758,-79.05104904507195,23.1,9.9,1.0
18,43.07054417223026,-79.1288736141828,18.2,7.8,1.0
19,43.10531228783718,-79.08152320201752,33.6,14.4,1.0
20,43.114047177288064,-79.06199691377681,14.7,6.3,1.0
21,43.054449084520016,-79.10512141426274,23.1,9.9,1.0
22,43.091390845139536,-79.10802225656079,30.8,13.2,1.0
23,43.058371597215675,-79.07294041702215,7.0,3.0,1.0
24,43.06651894438242,-79.10951453417908,25.2,10.8,1.0
25,43.07992787128509,-79.12796646986047,15.4,6.6,1.0
26,43.11270345169714,-79.09197038214543,28.7,12.3,1.0
27,43.059753201808405,-79.08164660965777,16.8,7.2,1.0
